Source City,Destination City,Distance,Weight (MT),Schd. Date,Material,Truck Type,Posted By,Details,Quotation,timestamp
Deharadun (UT),Bangalore (KA),"2,369 km",Upto 12 MT,10-Mar-2025,Others,Container Trucks,Customer,View Contact,Quote Now,20250226_0906_23
Deharadun (UT),Bangalore (KA),"2,369 km",Upto 12 MT,10-Mar-2025,Others,Container Trucks,Customer,View Contact,Quote Now,20250226_0916_27
Bangalore (KA),Noida (UP),"2,130 km",Upto 12 MT,26-Feb-2025,Others,Truck 15MT / 10 w...,Transporter,View Contact,Quote Now,20250226_0932_05
Jamui (BR),Noida (UP),"1,180 km",Upto 12 MT,26-Feb-2025,Others,Truck 20MT / 12 w...,Transporter,View Contact,Quote Now,20250226_0932_05
Deharadun (UT),Bangalore (KA),"2,369 km",Upto 12 MT,10-Mar-2025,Others,Container Trucks,Customer,View Contact,Quote Now,20250226_0932_05
Bangalore (KA),Noida (UP),"2,130 km",Upto 12 MT,26-Feb-2025,Others,Truck 15MT / 10 w...,Transporter,View Contact,Quote Now,20250226_0942_09
Jamui (BR),Noida (UP),"1,180 km",Upto 12 MT,26-Feb-2025,Others,Truck 20MT / 12 w...,Transporter,View Contact,Quote Now,20250226_0942_09
Jamui (BR),Nagpur (MH),"1,126 km",Do Not Know,26-Feb-2025,Others,Canters 17feet / ...,Transporter,View Contact,Quote Now,20250226_0942_09
Nagpur (MH),Hisar (HR),"1,302 km",Do Not Know,26-Feb-2025,Packed Food,Canters 19feet / ...,Transporter,View Contact,Quote Now,20250226_0942_09
Deharadun (UT),Bangalore (KA),"2,369 km",Upto 12 MT,10-Mar-2025,Others,Container Trucks,Customer,View Contact,Quote Now,20250226_0942_09
Bangalore (KA),Noida (UP),"2,130 km",Upto 12 MT,26-Feb-2025,Others,Truck 15MT / 10 w...,Transporter,View Contact,Quote Now,20250226_1002_50
Jamui (BR),Noida (UP),"1,180 km",Upto 12 MT,26-Feb-2025,Others,Truck 20MT / 12 w...,Transporter,View Contact,Quote Now,20250226_1002_50
Jamui (BR),Nagpur (MH),"1,126 km",Do Not Know,26-Feb-2025,Others,Canters 17feet / ...,Transporter,View Contact,Quote Now,20250226_1002_50
Nagpur (MH),Hisar (HR),"1,302 km",Do Not Know,26-Feb-2025,Packed Food,Canters 19feet / ...,Transporter,View Contact,Quote Now,20250226_1002_50
Bhagabannagar (TR),Hyd (AP),"2,754 km",Do Not Know,26-Feb-2025,Others,Canters 19feet / ...,Transporter,View Contact,Quote Now,20250226_1002_50
Yavatmal (MH),Vapi (GJ),655 km,Upto 12 MT,26-Feb-2025,Others,Truck 15MT / 10 w...,Transporter,View Contact,Quote Now,20250226_1002_50
Yavatmal (MH),Surada (OR),879 km,Upto 12 MT,26-Feb-2025,Others,Truck 15MT / 10 w...,Transporter,View Contact,Quote Now,20250226_1002_50
Bhagalpur (BR),Bihar (BR),216 km,Do Not Know,26-Feb-2025,Others,Canters 17feet / ...,Transporter,View Contact,Quote Now,20250226_1002_50
Deharadun (UT),Bangalore (KA),"2,369 km",Upto 12 MT,10-Mar-2025,Others,Container Trucks,Customer,View Contact,Quote Now,20250226_1002_50
Bangalore (KA),Noida (UP),"2,130 km",Upto 12 MT,26-Feb-2025,Others,Truck 15MT / 10 w...,Transporter,View Contact,Quote Now,20250226_1014_23
Jamui (BR),Noida (UP),"1,180 km",Upto 12 MT,26-Feb-2025,Others,Truck 20MT / 12 w...,Transporter,View Contact,Quote Now,20250226_1014_23
Jamui (BR),Nagpur (MH),"1,126 km",Do Not Know,26-Feb-2025,Others,Canters 17feet / ...,Transporter,View Contact,Quote Now,20250226_1014_23
Nagpur (MH),Hisar (HR),"1,302 km",Do Not Know,26-Feb-2025,Packed Food,Canters 19feet / ...,Transporter,View Contact,Quote Now,20250226_1014_23
Bhagabannagar (TR),Hyd (AP),"2,754 km",Do Not Know,26-Feb-2025,Others,Canters 19feet / ...,Transporter,View Contact,Quote Now,20250226_1014_23
Yavatmal (MH),Vapi (GJ),655 km,Upto 12 MT,26-Feb-2025,Others,Truck 15MT / 10 w...,Transporter,View Contact,Quote Now,20250226_1014_23
Yavatmal (MH),Surada (OR),879 km,Upto 12 MT,26-Feb-2025,Others,Truck 15MT / 10 w...,Transporter,View Contact,Quote Now,20250226_1014_23
Bhagalpur (BR),Bihar (BR),216 km,Do Not Know,26-Feb-2025,Others,Canters 17feet / ...,Transporter,View Contact,Quote Now,20250226_1014_23
Deharadun (UT),Bangalore (KA),"2,369 km",Upto 12 MT,10-Mar-2025,Others,Container Trucks,Customer,View Contact,Quote Now,20250226_1014_23
Bangalore (KA),Noida (UP),"2,130 km",Upto 12 MT,26-Feb-2025,Others,Truck 15MT / 10 w...,Transporter,View Contact,Quote Now,20250226_1024_25
Jamui (BR),Noida (UP),"1,180 km",Upto 12 MT,26-Feb-2025,Others,Truck 20MT / 12 w...,Transporter,View Contact,Quote Now,20250226_1024_25
Jamui (BR),Nagpur (MH),"1,126 km",Do Not Know,26-Feb-2025,Others,Canters 17feet / ...,Transporter,View Contact,Quote Now,20250226_1024_25
Nagpur (MH),Hisar (HR),"1,302 km",Do Not Know,26-Feb-2025,Packed Food,Canters 19feet / ...,Transporter,View Contact,Quote Now,20250226_1024_25
Bhagabannagar (TR),Hyd (AP),"2,754 km",Do Not Know,26-Feb-2025,Others,Canters 19feet / ...,Transporter,View Contact,Quote Now,20250226_1024_25
Yavatmal (MH),Vapi (GJ),655 km,Upto 12 MT,26-Feb-2025,Others,Truck 15MT / 10 w...,Transporter,View Contact,Quote Now,20250226_1024_25
Yavatmal (MH),Surada (OR),879 km,Upto 12 MT,26-Feb-2025,Others,Truck 15MT / 10 w...,Transporter,View Contact,Quote Now,20250226_1024_25
Bhagalpur (BR),Bihar (BR),216 km,Do Not Know,26-Feb-2025,Others,Canters 17feet / ...,Transporter,View Contact,Quote Now,20250226_1024_25
